@relation 'dataset-weka.filters.unsupervised.instance.imagefilter.SimpleColorHistogramFilter-DC:\\Users\\ngocl\\eclipse-workspace\\datn-be-weka.filters.unsupervised.attribute.Remove-R1'

@attribute 'RGB Color Histogram0' numeric
@attribute 'RGB Color Histogram1' numeric
@attribute 'RGB Color Histogram2' numeric
@attribute 'RGB Color Histogram3' numeric
@attribute 'RGB Color Histogram4' numeric
@attribute 'RGB Color Histogram5' numeric
@attribute 'RGB Color Histogram6' numeric
@attribute 'RGB Color Histogram7' numeric
@attribute 'RGB Color Histogram8' numeric
@attribute 'RGB Color Histogram9' numeric
@attribute 'RGB Color Histogram10' numeric
@attribute 'RGB Color Histogram11' numeric
@attribute 'RGB Color Histogram12' numeric
@attribute 'RGB Color Histogram13' numeric
@attribute 'RGB Color Histogram14' numeric
@attribute 'RGB Color Histogram15' numeric
@attribute 'RGB Color Histogram16' numeric
@attribute 'RGB Color Histogram17' numeric
@attribute 'RGB Color Histogram18' numeric
@attribute 'RGB Color Histogram19' numeric
@attribute 'RGB Color Histogram20' numeric
@attribute 'RGB Color Histogram21' numeric
@attribute 'RGB Color Histogram22' numeric
@attribute 'RGB Color Histogram23' numeric
@attribute 'RGB Color Histogram24' numeric
@attribute 'RGB Color Histogram25' numeric
@attribute 'RGB Color Histogram26' numeric
@attribute 'RGB Color Histogram27' numeric
@attribute 'RGB Color Histogram28' numeric
@attribute 'RGB Color Histogram29' numeric
@attribute 'RGB Color Histogram30' numeric
@attribute 'RGB Color Histogram31' numeric
@attribute 'RGB Color Histogram32' numeric
@attribute 'RGB Color Histogram33' numeric
@attribute 'RGB Color Histogram34' numeric
@attribute 'RGB Color Histogram35' numeric
@attribute 'RGB Color Histogram36' numeric
@attribute 'RGB Color Histogram37' numeric
@attribute 'RGB Color Histogram38' numeric
@attribute 'RGB Color Histogram39' numeric
@attribute 'RGB Color Histogram40' numeric
@attribute 'RGB Color Histogram41' numeric
@attribute 'RGB Color Histogram42' numeric
@attribute 'RGB Color Histogram43' numeric
@attribute 'RGB Color Histogram44' numeric
@attribute 'RGB Color Histogram45' numeric
@attribute 'RGB Color Histogram46' numeric
@attribute 'RGB Color Histogram47' numeric
@attribute 'RGB Color Histogram48' numeric
@attribute 'RGB Color Histogram49' numeric
@attribute 'RGB Color Histogram50' numeric
@attribute 'RGB Color Histogram51' numeric
@attribute 'RGB Color Histogram52' numeric
@attribute 'RGB Color Histogram53' numeric
@attribute 'RGB Color Histogram54' numeric
@attribute 'RGB Color Histogram55' numeric
@attribute 'RGB Color Histogram56' numeric
@attribute 'RGB Color Histogram57' numeric
@attribute 'RGB Color Histogram58' numeric
@attribute 'RGB Color Histogram59' numeric
@attribute 'RGB Color Histogram60' numeric
@attribute 'RGB Color Histogram61' numeric
@attribute 'RGB Color Histogram62' numeric
@attribute 'RGB Color Histogram63' numeric
@attribute class {Sofa,BanGhe,Giuong,Ke}

@data
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,7,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,10,62,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,14,3,0,0,23,255,BanGhe
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,115,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,97,255,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,34,92,BanGhe
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,121,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,100,255,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,37,106,BanGhe
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,121,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,100,255,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,37,106,BanGhe
30,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,45,146,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,99,255,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,38,175,BanGhe
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,16,160,7,0,0,1,11,0,0,0,0,0,0,0,0,0,5,31,1,0,0,39,255,5,0,0,2,11,0,0,0,0,0,0,0,0,0,9,41,1,0,0,16,139,BanGhe
57,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,10,2,0,0,13,75,4,0,0,2,6,1,0,0,0,0,0,0,0,0,0,17,5,0,0,25,255,25,0,0,10,19,0,0,0,0,0,0,0,0,0,0,29,17,0,0,27,174,BanGhe
151,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,7,4,0,0,6,73,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,6,5,0,0,7,83,4,0,0,4,6,0,0,0,0,0,0,0,0,0,0,7,5,0,0,9,255,BanGhe
1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,30,135,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,68,0,0,0,114,255,2,0,0,15,5,0,0,0,0,0,0,0,0,0,0,18,4,0,0,31,102,BanGhe
168,2,0,0,7,2,0,0,0,0,0,0,0,0,0,0,14,3,0,0,19,94,2,0,0,8,3,0,0,0,0,0,0,0,0,0,0,14,3,0,0,22,105,2,0,0,10,4,0,0,0,0,0,0,0,0,0,0,14,4,0,0,30,255,BanGhe
79,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,36,93,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,65,255,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,52,202,BanGhe
157,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,53,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,108,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,255,BanGhe
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,21,255,BanGhe
157,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,53,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,108,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,255,BanGhe
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,255,BanGhe
84,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,34,107,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,35,1,0,0,62,255,3,0,0,17,6,0,0,0,0,0,0,0,0,0,0,25,5,0,0,52,203,BanGhe
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,15,124,12,0,0,6,16,0,0,0,0,0,0,0,0,0,4,36,7,0,0,38,255,10,0,0,9,11,0,0,0,0,0,0,0,0,0,13,50,5,0,0,10,87,BanGhe
183,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,4,44,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,6,51,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,8,255,BanGhe
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,63,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,122,155,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,37,255,BanGhe
52,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,20,39,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,40,108,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,31,255,BanGhe
52,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,20,39,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,40,108,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,31,255,BanGhe
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0,0,16,255,BanGhe
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,45,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,255,BanGhe
3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,64,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,113,149,1,0,0,11,2,0,0,0,0,0,0,0,0,0,2,23,2,0,0,44,255,BanGhe
110,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,11,52,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,13,68,1,0,0,6,3,0,0,0,0,0,0,0,0,0,0,9,2,0,0,23,255,BanGhe
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,115,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,97,255,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,34,92,BanGhe
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,121,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,100,255,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,37,106,BanGhe
189,6,0,0,4,5,0,0,0,0,0,0,0,0,0,0,18,6,0,0,13,99,6,0,0,5,6,0,0,0,0,0,0,0,0,0,0,16,6,0,0,15,106,5,0,0,6,7,0,0,0,0,0,0,0,0,0,0,17,5,0,0,24,255,BanGhe
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,121,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,100,255,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,37,106,BanGhe
30,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,45,146,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,99,255,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,38,175,BanGhe
1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,30,135,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,68,0,0,0,113,255,2,0,0,15,5,0,0,0,0,0,0,0,0,0,0,18,4,0,0,31,101,BanGhe
168,2,0,0,7,2,0,0,0,0,0,0,0,0,0,0,14,3,0,0,19,94,2,0,0,8,3,0,0,0,0,0,0,0,0,0,0,14,3,0,0,22,106,2,0,0,10,4,0,0,0,0,0,0,0,0,0,0,14,4,0,0,29,255,BanGhe
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,1,16,0,0,0,1,0,0,0,0,0,0,12,19,0,0,2,38,1,0,0,29,123,7,0,0,0,2,4,12,0,0,0,14,4,0,0,1,62,6,0,0,10,255,BanGhe
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,1,17,0,0,0,1,0,0,0,0,0,0,12,20,0,0,2,37,1,0,0,28,121,7,0,0,0,4,4,13,0,0,1,14,4,0,0,1,61,6,0,0,10,255,BanGhe
79,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,36,93,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,65,255,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,52,202,BanGhe
157,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,53,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,108,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,255,BanGhe
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,59,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,255,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,119,0,0,0,21,36,BanGhe
157,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,53,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,108,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,255,BanGhe
107,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,42,0,0,0,19,180,5,0,0,0,7,0,0,0,0,0,0,0,0,0,5,38,0,0,0,42,255,6,0,0,2,21,0,0,0,0,0,0,0,0,0,21,72,0,0,0,6,235,BanGhe
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,255,BanGhe
84,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,34,107,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,35,1,0,0,63,255,4,0,0,17,6,0,0,0,0,0,0,0,0,0,0,26,5,0,0,52,203,BanGhe
183,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,5,44,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,6,51,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,8,255,BanGhe
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,63,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,122,155,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,37,255,BanGhe
52,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,20,39,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,40,108,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,31,255,BanGhe
52,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,20,39,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,40,108,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,31,255,BanGhe
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,114,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,224,0,0,0,255,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,181,0,0,0,116,118,BanGhe
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,45,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,255,BanGhe
3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,64,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,114,149,1,0,0,11,2,0,0,0,0,0,0,0,0,0,2,24,2,0,0,44,255,BanGhe
110,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,11,51,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0,13,68,1,0,0,6,2,0,0,0,0,0,0,0,0,0,0,9,2,0,0,23,255,BanGhe
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,11,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,16,255,BanGhe
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,115,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,97,255,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,34,92,BanGhe
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,121,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,100,255,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,37,106,BanGhe
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,121,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,100,255,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,37,106,BanGhe
30,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,45,146,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,99,255,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,38,175,BanGhe
1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,30,136,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,68,0,0,0,114,255,2,0,0,15,5,0,0,0,0,0,0,0,0,0,0,18,4,0,0,31,102,BanGhe
168,2,0,0,7,2,0,0,0,0,0,0,0,0,0,0,15,3,0,0,19,94,2,0,0,9,3,0,0,0,0,0,0,0,0,0,0,14,3,0,0,22,105,2,0,0,10,4,0,0,0,0,0,0,0,0,0,0,14,4,0,0,29,255,BanGhe
79,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,36,93,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,65,255,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,52,202,BanGhe
157,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,53,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,108,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,255,BanGhe
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,1,17,0,0,0,1,0,0,0,0,0,0,12,20,0,0,2,37,1,0,0,28,121,7,0,0,0,4,4,13,0,0,1,14,4,0,0,1,61,6,0,0,10,255,BanGhe
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,4,26,0,0,0,1,0,0,0,0,0,0,18,17,0,0,1,40,2,0,0,20,149,8,0,0,1,5,2,7,0,0,0,14,6,0,0,1,43,4,0,0,14,255,BanGhe
255,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,89,8,0,0,0,12,2,0,0,0,0,0,0,0,0,0,4,1,0,0,1,56,31,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,148,BanGhe
70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,60,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,201,0,0,0,255,199,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,121,1,0,0,36,37,BanGhe
157,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,53,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,108,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,255,BanGhe
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,255,BanGhe
