@relation 'image-weka.filters.unsupervised.instance.imagefilter.SimpleColorHistogramFilter-DC:\\Users\\ngocl\\eclipse-workspace\\datn-be'

@attribute image string
@attribute 'RGB Color Histogram0' numeric
@attribute 'RGB Color Histogram1' numeric
@attribute 'RGB Color Histogram2' numeric
@attribute 'RGB Color Histogram3' numeric
@attribute 'RGB Color Histogram4' numeric
@attribute 'RGB Color Histogram5' numeric
@attribute 'RGB Color Histogram6' numeric
@attribute 'RGB Color Histogram7' numeric
@attribute 'RGB Color Histogram8' numeric
@attribute 'RGB Color Histogram9' numeric
@attribute 'RGB Color Histogram10' numeric
@attribute 'RGB Color Histogram11' numeric
@attribute 'RGB Color Histogram12' numeric
@attribute 'RGB Color Histogram13' numeric
@attribute 'RGB Color Histogram14' numeric
@attribute 'RGB Color Histogram15' numeric
@attribute 'RGB Color Histogram16' numeric
@attribute 'RGB Color Histogram17' numeric
@attribute 'RGB Color Histogram18' numeric
@attribute 'RGB Color Histogram19' numeric
@attribute 'RGB Color Histogram20' numeric
@attribute 'RGB Color Histogram21' numeric
@attribute 'RGB Color Histogram22' numeric
@attribute 'RGB Color Histogram23' numeric
@attribute 'RGB Color Histogram24' numeric
@attribute 'RGB Color Histogram25' numeric
@attribute 'RGB Color Histogram26' numeric
@attribute 'RGB Color Histogram27' numeric
@attribute 'RGB Color Histogram28' numeric
@attribute 'RGB Color Histogram29' numeric
@attribute 'RGB Color Histogram30' numeric
@attribute 'RGB Color Histogram31' numeric
@attribute 'RGB Color Histogram32' numeric
@attribute 'RGB Color Histogram33' numeric
@attribute 'RGB Color Histogram34' numeric
@attribute 'RGB Color Histogram35' numeric
@attribute 'RGB Color Histogram36' numeric
@attribute 'RGB Color Histogram37' numeric
@attribute 'RGB Color Histogram38' numeric
@attribute 'RGB Color Histogram39' numeric
@attribute 'RGB Color Histogram40' numeric
@attribute 'RGB Color Histogram41' numeric
@attribute 'RGB Color Histogram42' numeric
@attribute 'RGB Color Histogram43' numeric
@attribute 'RGB Color Histogram44' numeric
@attribute 'RGB Color Histogram45' numeric
@attribute 'RGB Color Histogram46' numeric
@attribute 'RGB Color Histogram47' numeric
@attribute 'RGB Color Histogram48' numeric
@attribute 'RGB Color Histogram49' numeric
@attribute 'RGB Color Histogram50' numeric
@attribute 'RGB Color Histogram51' numeric
@attribute 'RGB Color Histogram52' numeric
@attribute 'RGB Color Histogram53' numeric
@attribute 'RGB Color Histogram54' numeric
@attribute 'RGB Color Histogram55' numeric
@attribute 'RGB Color Histogram56' numeric
@attribute 'RGB Color Histogram57' numeric
@attribute 'RGB Color Histogram58' numeric
@attribute 'RGB Color Histogram59' numeric
@attribute 'RGB Color Histogram60' numeric
@attribute 'RGB Color Histogram61' numeric
@attribute 'RGB Color Histogram62' numeric
@attribute 'RGB Color Histogram63' numeric
@attribute class {Sofa,BanGhe,Ban,Ghe,Cay,Giuong,Ke}

@data
'innovia\\ban-ghe-phong-an-phongcach-toi-gian-3.png',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,63,216,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,106,0,0,0,49,255,BanGhe
'innovia\\ban-ghe-phong-an-phongcach-toi-gian-4.png',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,120,102,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,13,255,BanGhe
'innovia\\ban-ghe-phong-lam-viec-1.png',255,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,86,0,0,0,51,209,1,0,0,0,0,0,0,0,0,0,1,0,0,0,21,173,1,0,0,137,59,2,0,0,1,0,0,0,0,0,2,0,0,0,4,74,76,0,0,0,30,165,BanGhe
'innovia\\ban-ghe-phong-lam-viec-2.png',64,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,1,0,0,33,255,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,0,0,0,5,45,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,61,0,0,0,4,169,BanGhe
'innovia\\ban-ghe-phong-lam-viec-3.png',111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,0,0,73,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,95,0,0,0,88,83,1,0,0,0,1,0,0,0,0,1,2,0,0,0,133,255,0,0,0,73,233,BanGhe
'innovia\\ban-ghe-phong-lam-viec-4.png',79,1,0,0,0,3,2,2,0,0,0,0,0,0,0,0,32,0,0,0,39,74,4,0,0,2,2,0,0,0,0,0,2,0,0,0,16,38,1,0,0,27,115,2,0,0,8,0,0,0,0,0,8,1,0,0,18,36,92,1,0,0,20,255,BanGhe
'innovia\\ban-tra-nho-mau-sac-trang-nha-1.png',7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,65,105,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,88,224,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,60,255,Ban
'innovia\\ban-tra-nho-mau-sac-trang-nha-2.png',3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41,131,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,105,255,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,44,120,Ban
'innovia\\ban-tra-nho-mau-sac-trang-nha-3.png',0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,37,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,81,124,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,43,255,Ban
'innovia\\ban-tra-nho-mau-sac-trang-nha-4.png',21,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,88,130,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,72,255,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,16,33,Ban
'innovia\\ban-tra-nho-trang-tri-dau-giuong-1.png',15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,13,26,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,20,0,0,5,32,134,2,0,0,0,3,0,0,0,0,0,0,0,0,11,12,34,2,2,5,25,255,Ban
'innovia\\ban-tra-nho-trang-tri-dau-giuong-2.png',25,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,8,0,0,0,26,35,0,0,0,1,16,0,0,0,0,0,0,0,0,0,5,42,0,0,2,52,255,1,0,0,0,12,0,0,0,0,0,0,0,0,14,15,46,0,0,3,18,76,Ban
'innovia\\ban-tra-nho-trang-tri-dau-giuong-3.png',21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,33,42,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,48,0,0,3,51,255,2,0,0,0,9,0,0,0,0,0,0,0,0,11,5,36,0,0,3,25,106,Ban
'innovia\\ban-tra-nho-trang-tri-dau-giuong-4.png',11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,30,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,10,0,0,12,20,174,2,0,0,0,4,0,0,0,0,0,0,0,0,23,17,35,1,0,9,59,255,Ban
'innovia\\bo-ban-ghe-sofa-phong-khach-phong-cach-sang-trong-1.png',13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,0,0,1,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,6,0,0,12,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2,52,Sofa
'innovia\\bo-ban-ghe-sofa-phong-khach-phong-cach-sang-trong-2.png',21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,103,0,0,0,180,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,172,52,0,0,3,255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,1,170,Sofa
'innovia\\bo-ban-ghe-sofa-phong-khach-phong-cach-sang-trong-3.png',39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,0,0,0,170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8,0,0,1,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,3,68,Sofa
'innovia\\bo-ban-ghe-sofa-phong-khach-phong-cach-sang-trong-4.png',57,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,38,0,0,5,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,5,0,0,16,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,4,38,Sofa
'innovia\\bo-ban-ghe-trang-tri-phong-khach-phong-cach-doc-dao-1.png',5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41,22,0,0,10,20,0,0,6,0,0,0,0,0,0,0,0,0,0,0,32,50,0,0,3,205,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,131,0,0,0,255,52,BanGhe
'innovia\\bo-ban-ghe-trang-tri-phong-khach-phong-cach-doc-dao-2.png',12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,116,67,0,0,18,72,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,66,7,0,5,126,21,0,3,1,0,0,0,0,0,0,0,0,0,0,0,11,69,0,0,0,255,84,BanGhe
'innovia\\bo-ban-ghe-trang-tri-phong-khach-phong-cach-doc-dao-3.png',31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,108,0,0,28,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,141,0,0,0,162,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,39,3,BanGhe
'innovia\\bo-ban-ghe-trang-tri-phong-khach-phong-cach-doc-dao-4.png',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,11,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,94,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,82,0,0,0,255,58,BanGhe
'innovia\\Bo-ghe-sofa-doi-kem-hai-ghe-don-phong-cach-toi-gian-1.png',8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,13,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,18,255,Sofa
'innovia\\Bo-ghe-sofa-doi-kem-hai-ghe-don-phong-cach-toi-gian-2.png',45,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,40,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,4,61,Sofa
'innovia\\Bo-ghe-sofa-doi-kem-hai-ghe-don-phong-cach-toi-gian-3.png',13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,93,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,39,255,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,0,0,0,9,168,Sofa
'innovia\\Bo-ghe-sofa-doi-kem-hai-ghe-don-phong-cach-toi-gian-4.png',13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,114,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,50,255,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,3,193,Sofa
'innovia\\Bo-sofa-dai-kem-ghe-nam-thoai-mai-1.png',16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,22,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,51,0,0,1,90,255,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,104,0,0,1,103,129,Sofa
'innovia\\Bo-sofa-dai-kem-ghe-nam-thoai-mai-2.png',21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,55,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,82,255,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,43,132,Sofa
'innovia\\Bo-sofa-dai-kem-ghe-nam-thoai-mai-3.png',40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,40,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,43,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,16,37,Sofa
'innovia\\Bo-sofa-dai-kem-ghe-nam-thoai-mai-4.png',8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,18,62,0,0,3,3,0,0,0,0,0,0,0,0,0,0,8,81,0,0,8,206,255,0,0,4,6,0,0,0,0,0,0,0,0,0,0,11,82,0,0,7,101,124,Sofa
'innovia\\Bo-sofa-doi-dai-phong-cach-toi-gian-kem-ghe-luoi-1.png',4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,58,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,255,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,27,182,Sofa
'innovia\\Bo-sofa-doi-dai-phong-cach-toi-gian-kem-ghe-luoi-2.png',9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,28,255,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,43,160,Sofa
'innovia\\Bo-sofa-doi-dai-phong-cach-toi-gian-kem-ghe-luoi-3.png',15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,39,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,14,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,9,255,Sofa
'innovia\\Bo-sofa-doi-dai-phong-cach-toi-gian-kem-ghe-luoi-4.png',12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,145,1,0,0,19,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,255,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,180,Sofa
'innovia\\bo-sofa-kem-ghe-don-phong-cach-co-dien-1.png',158,2,0,0,2,3,4,0,0,0,0,0,0,0,0,0,165,1,0,0,187,139,7,0,0,0,2,0,0,0,0,0,72,0,0,0,117,78,0,0,0,59,255,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,5,Sofa
'innovia\\bo-sofa-kem-ghe-don-phong-cach-co-dien-2.png',255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,77,16,0,0,0,0,0,0,0,0,0,0,116,0,0,0,184,83,0,0,0,29,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sofa
'innovia\\bo-sofa-kem-ghe-don-phong-cach-co-dien-3.png',210,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,157,99,3,0,0,0,7,0,0,0,0,0,154,0,0,0,55,73,0,0,0,13,222,5,0,0,0,1,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0,Sofa
'innovia\\bo-sofa-kem-ghe-don-phong-cach-co-dien-4.png',156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,7,0,0,26,97,1,0,0,0,1,0,0,0,0,0,255,0,0,0,43,46,0,0,0,13,79,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,Sofa
'innovia\\Bo-sofa-phong-cach-au-my-hien-dai-1.png',113,20,0,0,0,8,1,0,0,0,0,0,0,0,0,0,42,0,0,0,52,255,17,0,0,1,14,0,0,0,0,0,2,0,0,0,1,21,1,0,0,36,137,5,0,0,0,8,0,0,0,0,0,0,0,0,0,4,3,0,0,0,6,42,Sofa
'innovia\\Bo-sofa-phong-cach-au-my-hien-dai-2.png',160,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,86,1,0,0,71,255,10,0,0,0,7,0,0,0,0,0,6,2,0,0,2,50,1,0,0,14,145,18,0,0,0,31,0,0,0,0,0,4,0,0,0,1,5,0,0,0,1,103,Sofa
'innovia\\Bo-sofa-phong-cach-au-my-hien-dai-3.png',248,9,0,0,1,5,0,0,0,0,0,0,0,0,0,0,47,0,0,0,70,255,17,0,0,3,35,0,0,0,0,0,0,0,0,0,1,6,0,0,0,12,128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sofa
'innovia\\Bo-sofa-phong-cach-au-my-hien-dai-4.png',89,44,0,0,0,14,3,0,0,0,0,0,0,0,0,0,34,0,0,0,32,255,29,0,0,1,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sofa
'innovia\\Bo-sofa-phong-cach-co-dien-1.png',8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19,23,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,67,0,0,0,52,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,0,0,0,43,200,Sofa
'innovia\\Bo-sofa-phong-cach-co-dien-2.png',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,68,0,0,0,67,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,72,0,0,0,52,255,Sofa
'innovia\\Bo-sofa-phong-cach-co-dien-3.png',34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,27,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,187,0,0,0,174,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,144,0,0,0,138,198,Sofa
'innovia\\Bo-sofa-phong-cach-co-dien-4.png',8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,48,51,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,255,0,0,0,131,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,47,0,0,0,24,19,Sofa
'innovia\\chau-cay-nho-trang-tri-nha-cua-1.png',18,4,0,0,9,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,123,7,0,0,17,12,0,0,0,0,0,0,0,0,0,4,42,0,0,0,37,255,8,0,0,3,14,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,179,Cay
'innovia\\chau-cay-nho-trang-tri-nha-cua-2.png',9,3,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,163,6,0,0,20,18,0,0,0,0,0,0,0,0,0,0,33,0,0,2,26,156,7,0,1,3,13,0,0,0,0,0,0,0,0,0,0,18,0,0,3,13,255,Cay
'innovia\\chau-cay-nho-trang-tri-nha-cua-3.png',12,0,0,0,12,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,183,1,0,0,28,8,0,0,0,0,0,0,0,0,0,9,89,0,0,2,73,255,3,0,1,4,5,0,0,0,0,0,0,0,0,0,1,8,0,0,3,9,75,Cay
'innovia\\chau-cay-nho-trang-tri-nha-cua-4.png',20,1,0,0,13,34,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,112,0,0,0,19,5,0,0,0,0,0,0,0,0,0,14,81,0,0,0,73,255,5,0,0,1,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,35,Cay
'innovia\\Ghe-don-co-dem-day-thoai-mai-thu-gian-1.png',2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,75,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,53,0,0,5,79,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,109,0,0,0,96,84,Ghe
'innovia\\Ghe-don-co-dem-day-thoai-mai-thu-gian-2.png',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,198,0,0,0,83,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,112,255,Ghe
'innovia\\Ghe-don-co-dem-day-thoai-mai-thu-gian-3.png',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,94,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,136,0,0,0,148,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,50,0,0,0,15,34,Ghe
'innovia\\Ghe-don-co-dem-day-thoai-mai-thu-gian-4.png',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,83,105,0,0,2,0,0,0,0,0,0,0,2,0,0,0,76,115,0,0,49,109,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,164,0,0,0,110,102,Ghe
'innovia\\ghe-don-co-tua-lung-dung-trong-phong-lam-viec-1.png',70,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,255,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,14,149,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,64,134,Ghe
