@relation image

@attribute image string
@attribute class {Sofa, BanGhe, Ban, Ghe, Cay, Giuong, Ke}

@data
bo-sofa-kem-ghe-don-phong-cach-co-dien-3.png, Sofa
bo-sofa-kem-ghe-don-phong-cach-co-dien-4.png, Sofa
Bo-sofa-phong-cach-au-my-hien-dai-1.png, Sofa
Bo-sofa-phong-cach-au-my-hien-dai-2.png, Sofa
Bo-sofa-phong-cach-au-my-hien-dai-3.png, Sofa
Bo-sofa-phong-cach-au-my-hien-dai-4.png, Sofa
Bo-sofa-phong-cach-co-dien-1.png, Sofa
Bo-sofa-phong-cach-co-dien-2.png, Sofa
Bo-sofa-phong-cach-co-dien-3.png, Sofa
Bo-sofa-phong-cach-co-dien-4.png, Sofa
chau-cay-nho-trang-tri-nha-cua-1.png, Cay
chau-cay-nho-trang-tri-nha-cua-2.png, Cay
chau-cay-nho-trang-tri-nha-cua-3.png, Cay
chau-cay-nho-trang-tri-nha-cua-4.png, Cay
Ghe-don-co-dem-day-thoai-mai-thu-gian-1.png, Ghe
Ghe-don-co-dem-day-thoai-mai-thu-gian-2.png, Ghe
Ghe-don-co-dem-day-thoai-mai-thu-gian-3.png, Ghe
Ghe-don-co-dem-day-thoai-mai-thu-gian-4.png, Ghe
ghe-don-co-tua-lung-dung-trong-phong-lam-viec-1.png, Ghe
ghe-don-co-tua-lung-dung-trong-phong-lam-viec-2.png, Ghe
ghe-don-co-tua-lung-dung-trong-phong-lam-viec-3.png, Ghe
ghe-don-co-tua-lung-dung-trong-phong-lam-viec-4.png, Ghe
ghe-don-phong-cach-hien-dai-cho-phong-lam-viec-1.png, Ghe
ghe-don-phong-cach-hien-dai-cho-phong-lam-viec-2.png, Ghe
ghe-don-phong-cach-hien-dai-cho-phong-lam-viec-3.png, Ghe
ghe-don-phong-cach-hien-dai-cho-phong-lam-viec-4.png, Ghe
ghe-don-phong-cach-toi-gian-co-tua-lung-1.png, Ghe
ghe-don-phong-cach-toi-gian-co-tua-lung-2.png, Ghe
ghe-don-phong-cach-toi-gian-co-tua-lung-3.png, Ghe
ghe-don-phong-cach-toi-gian-co-tua-lung-4.png, Ghe
ghe-don-va-ban-tra-nho-trang-tri-phong-ngu-1.png, BanGhe
ghe-don-va-ban-tra-nho-trang-tri-phong-ngu-2.png, BanGhe
ghe-don-va-ban-tra-nho-trang-tri-phong-ngu-3.png, BanGhe
ghe-don-va-ban-tra-nho-trang-tri-phong-ngu-4.png, BanGhe
giuong-co-lon-boc-dem-mem-phong-cach-hien-dai-sang-trong-1.png, Giuong
giuong-co-lon-boc-dem-mem-phong-cach-hien-dai-sang-trong-2.png, Giuong
giuong-co-lon-boc-dem-mem-phong-cach-hien-dai-sang-trong-3.png, Giuong
giuong-co-lon-boc-dem-mem-phong-cach-hien-dai-sang-trong-4.png, Giuong
giuong-go-dau-giuong-vuong-nho-gon-1.png, Giuong
giuong-go-dau-giuong-vuong-nho-gon-2.png, Giuong
giuong-go-dau-giuong-vuong-nho-gon-3.png, Giuong
giuong-go-dau-giuong-vuong-nho-gon-4.png, Giuong
giuong-go-phong-cach-toi-gian-1.png, Giuong
giuong-go-phong-cach-toi-gian-2.png, Giuong
giuong-go-phong-cach-toi-gian-3.png, Giuong
giuong-go-phong-cach-toi-gian-4.png, Giuong
giuong-pallet-go-khong-dau-giuong-hien-dai-1.png, Giuong
giuong-pallet-go-khong-dau-giuong-hien-dai-2.png, Giuong
giuong-pallet-go-khong-dau-giuong-hien-dai-3.png, Giuong
giuong-pallet-go-khong-dau-giuong-hien-dai-4.png, Giuong
ke-dan-tuong-dat-chau-hoa-do-trang-tri-1.png, Ke
ke-dan-tuong-dat-chau-hoa-do-trang-tri-2.png, Ke
ke-dan-tuong-dat-chau-hoa-do-trang-tri-3.png, Ke
ke-dan-tuong-dat-chau-hoa-do-trang-tri-4.png, Ke
ke-go-de-do-trang-tri-phong-khach-phong-ngu-1.png, Ke
ke-go-de-do-trang-tri-phong-khach-phong-ngu-2.png, Ke
ke-go-de-do-trang-tri-phong-khach-phong-ngu-3.png, Ke
ke-go-de-do-trang-tri-phong-khach-phong-ngu-4.png, Ke
ke-sach-5-tang-phong-cach-hien-dai-doc-dao-1.png, Ke
ke-sach-5-tang-phong-cach-hien-dai-doc-dao-2.png, Ke
ke-sach-5-tang-phong-cach-hien-dai-doc-dao-3.png, Ke
ke-sach-5-tang-phong-cach-hien-dai-doc-dao-4.png, Ke
ke-sat-3-tang-phong-cach-hien-dai-1.png, Ke
ke-sat-3-tang-phong-cach-hien-dai-2.png, Ke
ke-sat-3-tang-phong-cach-hien-dai-3.png, Ke
ke-sat-3-tang-phong-cach-hien-dai-4.png, Ke
sofa-dai-hai-mau-vang-xanh-toi-gian-kem-ghe-nam-1.png, Sofa
sofa-dai-hai-mau-vang-xanh-toi-gian-kem-ghe-nam-2.png, Sofa
sofa-dai-hai-mau-vang-xanh-toi-gian-kem-ghe-nam-3.png, Sofa
sofa-dai-hai-mau-vang-xanh-toi-gian-kem-ghe-nam-4.png, Sofa
sofa-dai-mot-mau-phong-cach-toi-gian-1.png, Sofa
sofa-dai-mot-mau-phong-cach-toi-gian-2.png, Sofa
sofa-dai-mot-mau-phong-cach-toi-gian-3.png, Sofa
sofa-dai-mot-mau-phong-cach-toi-gian-4.png, Sofa
sofa-doi-dai-mau-am-trang-tri-phong-khach-1.png, Sofa
sofa-doi-dai-mau-am-trang-tri-phong-khach-2.png, Sofa
sofa-doi-dai-mau-am-trang-tri-phong-khach-3.png, Sofa
sofa-doi-dai-mau-am-trang-tri-phong-khach-4.png, Sofa
Sofa-doi-mau-sac-hien-dai-toi-gian-phong-khach-1.png, Sofa
Sofa-doi-mau-sac-hien-dai-toi-gian-phong-khach-2.png, Sofa
Sofa-doi-mau-sac-hien-dai-toi-gian-phong-khach-3.png, Sofa
Sofa-doi-mau-sac-hien-dai-toi-gian-phong-khach-4.png, Sofa
sofa-doi-mau-tram-phong-cach-toi-gian-1.png, Sofa
sofa-doi-mau-tram-phong-cach-toi-gian-2.png, Sofa
sofa-doi-mau-tram-phong-cach-toi-gian-3.png, Sofa
sofa-doi-mau-tram-phong-cach-toi-gian-4.png, Sofa
tu-4-tang-dung-do-tien-loi-phong-cach-hien-dai-1.png, Sofa
tu-4-tang-dung-do-tien-loi-phong-cach-hien-dai-2.png, Sofa
tu-4-tang-dung-do-tien-loi-phong-cach-hien-dai-3.png, Sofa
tu-4-tang-dung-do-tien-loi-phong-cach-hien-dai-4.png, Sofa
tu-go-dat-dau-giuong-phong-cach-hien-dai-1.png, Ke
tu-go-dat-dau-giuong-phong-cach-hien-dai-2.png, Ke
tu-go-dat-dau-giuong-phong-cach-hien-dai-3.png, Ke
tu-go-dat-dau-giuong-phong-cach-hien-dai-4.png, Ke
tu-may-dan-trangtri-phong-khach-1.png, Ke
tu-may-dan-trangtri-phong-khach-2.png, Ke
tu-may-dan-trangtri-phong-khach-3.png, Ke
tu-may-dan-trangtri-phong-khach-4.png, Ke
